code,name,sector,rank,score,entry_date,entry_price,current_price,return_pct,topix_return_pct,alpha_pct,check_date
3110,日東紡績,ガラス・土石製品,1,69.86977628500912,2026-09-19,3080.0,3080.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
8624,いちよし証券,証券、商品先物取引業,2,67.41377175313427,2026-09-19,1686.0,1686.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
3150,グリムス,電気・ガス業,3,65.90693068385319,2026-09-19,2426.0,2426.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
5706,三井金属,非鉄金属,4,62.57359862240615,2026-09-19,22795.0,22795.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
2288,丸大食品,食料品,5,60.363116351113234,2026-09-19,2311.0,2311.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
6200,インソース,サービス業,6,59.685456186164544,2026-09-19,723.0,723.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
6331,三菱化工機,機械,7,59.32769788366312,2026-09-19,3370.0,3370.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
7236,ティラド,輸送用機器,8,59.08326775700658,2026-09-19,1488.0,1488.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
5195,バンドー化学,ゴム製品,9,58.17332085311022,2026-09-19,2454.0,2454.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
2317,システナ,情報・通信業,10,58.11064249739421,2026-09-19,440.0,440.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
3817,ＳＲＡホールディングス,情報・通信業,11,57.7356399180836,2026-09-19,4775.0,4775.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
4028,石原産業,化学,12,57.6684965953958,2026-09-19,2915.0,2915.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
3635,コーエーテクモホールディングス,情報・通信業,13,57.64494368833014,2026-09-19,1700.0,1700.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
7595,アルゴグラフィックス,情報・通信業,14,56.06123581153675,2026-09-19,1287.0,1287.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
5445,東京鐵鋼,鉄鋼,15,55.68662395463357,2026-09-19,2060.0,2060.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
3854,アイル,情報・通信業,16,55.65889321185202,2026-09-19,2163.0,2163.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
6727,ワコム,電気機器,17,55.528781527894445,2026-09-19,842.0,842.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
4503,アステラス製薬,医薬品,18,55.35346525003715,2026-09-19,2383.5,2383.5,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
5101,横浜ゴム,ゴム製品,19,55.3341518604596,2026-09-19,6825.0,6825.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
5105,ＴＯＹＯ　ＴＩＲＥ,ゴム製品,20,54.67321695068693,2026-09-19,3804.0,3804.0,0.0,-1.3334135699861628e-14,1.3334135699861628e-14,2026-09-21
