entry_date,code,name,sector,rank,total_score,entry_price,topix_entry
2026-09-26,3110,日東紡績,ガラス・土石製品,1,69.35184217629968,2980.0,430.29998779296875
2026-09-26,8624,いちよし証券,証券、商品先物取引業,2,66.89501668630979,1710.0,430.29998779296875
2026-09-26,3150,グリムス,電気・ガス業,3,65.80644885702222,2436.0,430.29998779296875
2026-09-26,6200,インソース,サービス業,4,62.786820254626726,675.0,430.29998779296875
2026-09-26,5706,三井金属,非鉄金属,5,60.64801536615215,22975.0,430.29998779296875
2026-09-26,2288,丸大食品,食料品,6,60.46917137598253,2286.0,430.29998779296875
2026-09-26,6331,三菱化工機,機械,7,59.831895513799175,3325.0,430.29998779296875
2026-09-26,3635,コーエーテクモホールディングス,情報・通信業,8,58.99824995810359,1671.0,430.29998779296875
2026-09-26,2317,システナ,情報・通信業,9,58.572242415346494,436.0,430.29998779296875
2026-09-26,7236,ティラド,輸送用機器,10,58.4330876637686,1544.0,430.29998779296875
2026-09-26,4028,石原産業,化学,11,57.69034353918938,2898.0,430.29998779296875
2026-09-26,5195,バンドー化学,ゴム製品,12,57.21014106280715,2527.0,430.29998779296875
2026-09-26,3817,ＳＲＡホールディングス,情報・通信業,13,57.176027645812844,4855.0,430.29998779296875
2026-09-26,3854,アイル,情報・通信業,14,56.60879677270278,2152.0,430.29998779296875
2026-09-26,7595,アルゴグラフィックス,情報・通信業,15,55.97504132845809,1295.0,430.29998779296875
2026-09-26,5445,東京鐵鋼,鉄鋼,16,55.50956657996286,2067.0,430.29998779296875
2026-09-26,4503,アステラス製薬,医薬品,17,55.18846478838496,2399.0,430.29998779296875
2026-09-26,5101,横浜ゴム,ゴム製品,18,54.59157514558802,6986.0,430.29998779296875
2026-09-26,9757,船井総研ホールディングス,サービス業,19,54.31605482095572,1191.0,430.29998779296875
2026-09-26,6727,ワコム,電気機器,20,54.19928094977491,880.0,430.29998779296875
