code,name,sector_33,ticker,market_cap_oku_yen,PBR,PER,PEG,Dividend_Yield,ROE,ROIC,Op_Margin_Trend_3Y,FCF_to_Sales_3Y,Equity_Ratio,Debt_to_EBITDA,score_valuation,score_quality,total_score
3110,日東紡績,ガラス・土石製品,3110.T,5424.36294656,3.0604436,13.123128,0.4621633386159535,94.0,28.395,28.395,8.614161966697608,,61.33240059638635,0.7374578046793155,72.63998573511972,95.47336976247463,69.35184217629968
8624,いちよし証券,証券、商品先物取引業,8624.T,549.94337792,1.786244,12.5,0.6194251734390486,5.09,20.18,20.18,10.18052524527276,10.089678678533744,56.25476320087098,0.050318278266141256,76.12615382682473,87.87389526927322,66.89501668630979
3150,グリムス,電気・ガス業,3150.T,563.31042816,2.9060576,11.494362,0.40646281693129177,5.34,28.279,28.279,3.6314154488771067,11.762698387852625,68.2271194534856,0.4923093836916654,73.48443910316814,89.55154269413903,65.80644885702222
6200,インソース,サービス業,6200.T,548.99593216,4.199877,13.532477,0.388897807282237,4.37,34.797,34.797,4.651232376918642,23.965733195648294,77.32201380840364,,66.03264975949759,95.08450816877297,62.786820254626726
5706,三井金属,非鉄金属,5706.T,13145.66701056,3.1141117,14.409177,0.47054983345307294,12.0,30.622,30.622,12.357695372512978,6.545952272275439,59.076447960589604,0.7741360955065584,68.47009932261147,88.57591264822925,60.64801536615215
2288,丸大食品,食料品,2288.T,547.98135296,0.7386686,5.7175727,0.43364222222222226,3.5,13.184999999999999,13.184999999999999,1.7849892301349646,,61.07059474811659,0.6273639204078276,89.0465145272729,67.90739839397331,60.46917137598253
6331,三菱化工機,機械,6331.T,757.471232,1.6841335,10.030166,0.5005821979047662,3.61,20.037001,20.037001,1.657131426531798,,57.533965912437736,0.4853940517165299,75.0142856590597,79.76066823556174,59.831895513799175
3635,コーエーテクモホールディングス,情報・通信業,3635.T,5585.10768128,1.9940454,12.837059,0.6231883952436142,2.87,20.599002,20.599002,8.360174080978815,30.223364944429505,86.88811523232015,,63.58295182510251,92.78941644670721,58.998249958103585
2317,システナ,情報・通信業,2317.T,1558.50752,3.9272912,13.775672,0.4439612262052419,4.13,31.028998,31.028998,3.653179287844809,11.339577363489834,64.85207681854648,0.0962081605672736,65.0287452800739,90.07130948487512,58.572242415346494
7236,ティラド,輸送用機器,7236.T,874.06583808,1.6413065,10.449378,0.5982354153546688,5.31,17.467,17.467,4.190104113786239,3.5357399521028614,53.15216846327401,1.1813415491054537,80.32701803115658,72.74400207549601,58.4330876637686
4028,石原産業,化学,4028.T,1108.91548672,0.86943763,6.6666665,0.627746374764595,4.49,10.620000000000001,10.620000000000001,4.016461875125783,,53.655036438055305,2.7292406235530176,90.7231728920885,63.58942450988755,57.69034353918938
5195,バンドー化学,ゴム製品,5195.T,1022.365696,1.0986173,9.855695,0.8155987255875539,3.96,12.084,12.084,3.2758627694940943,7.711135287996597,70.21426621781458,0.28274034822104466,81.96864722351889,69.79515095180454,57.21014106280715
3817,ＳＲＡホールディングス,情報・通信業,3817.T,654.2598144,1.7775899,10.952939,0.6247041792788354,4.94,17.533001000000002,17.533001000000002,0.8162543575352288,8.951359582966498,64.72265023112482,0.007369972625815961,77.92764487406603,73.37066035835092,57.176027645812844
3854,アイル,情報・通信業,3854.T,537.99469056,3.8805816,12.893176,0.3882551192483739,3.25,33.208,33.208,,10.823471022916198,68.39564330528155,,61.81556553581731,91.57692934136854,56.60879677270278
7595,アルゴグラフィックス,情報・通信業,7595.T,889.82806528,1.8817369,4.9140515,0.14261815277877704,3.55,34.456003,34.456003,-0.3915033256274416,8.380331557211287,60.25691583102185,,75.57710283760942,74.06349175454665,55.97504132845809
5445,東京鐵鋼,鉄鋼,5445.T,517.10447616,0.82087886,6.5494294,0.548023546146766,4.84,11.951,11.951,3.257225117026092,3.194568325807933,78.78780345311937,0.32935544300284464,93.02159109469426,59.67385198072472,55.50956657996286
4503,アステラス製薬,医薬品,4503.T,43014.39893504,2.2141721,14.7931185,0.6944799683357604,3.33,21.301001,21.301001,16.584558265897513,11.671268476655943,51.276211494005395,0.9670211002762907,60.923593493436314,90.58635845951989,55.188464788384955
5101,横浜ゴム,ゴム製品,5101.T,11020.2322944,0.9802587,7.721982,0.5394705882352941,3.19,14.313999999999998,14.313999999999998,2.1965830992136652,4.5561024342161565,51.58484957665286,2.1942319348655865,82.541537282463,66.13830677610447,54.591575145588024
9757,船井総研ホールディングス,サービス業,9757.T,1112.03057664,3.9879458,13.6426115,0.43941802750668335,4.03,31.047000000000004,31.047000000000004,0.7763416594715764,19.18603152502257,74.7091887964763,0.028872571108099872,64.7979161290759,83.82376790136189,54.31605482095572
6727,ワコム,電気機器,6727.T,1168.29356032,3.1734128,12.390877,0.4156757019692039,2.73,29.809,29.809,6.224655952081729,8.900427817622266,57.602721800575765,0.14672441797509475,60.220605020348714,90.00122288950904,54.19928094977491
